player,difference_in_salary,estimated_salary,actual_salary
Will Barton,3776541.83396198,7309874.83396198,3533333
Willie Cauley-Stein,3378205.67868184,7082365.67868184,3704160
Willie Reed,1345293.20386268,2816675.20386268,1471382
Willy Hernangomez,2907931.36622773,4343681.36622773,1435750
Wilson Chandler,-2480269.10406552,9536584.89593448,12016854
Xavier Rathan-Mayes,3037775.99125569,3083855.99125569,46080
Xavier Silas,1614121.47840381,1688280.47840381,74159
Yogi Ferrell,4303751.6463737,5616362.6463737,1312611
Zach Collins,214366.307745042,3271606.30774504,3057240
Zach LaVine,8970748.00333596,12172965.003336,3202217
Zach Randolph,111361.62829401,12419053.628294,12307692
Zaza Pachulia,709113.197554565,4186713.19755457,3477600
Zhou Qi,-1083111.23162829,-267496.231628293,815615
