player,difference_in_salary,estimated_salary,actual_salary
Derrick Favors,-3496224.80433439,8503775.19566561,1.2E+07
Derrick Rose,14122252.5486096,14413203.5486096,290951
Derrick Rose,13056494.5486096,14413203.5486096,1356709
Derrick Rose,13663442.5486096,14413203.5486096,749761
Derrick White,4830476.16083564,6235076.16083564,1404600
Derrick Williams,6225932.40828065,6309061.40828065,83129
Devin Booker,14373740.2973549,16693100.2973549,2319360
Devin Harris,3208988.02856608,7611534.02856608,4402546
Dewayne Dedmon,-1966554.66286243,4033445.33713757,6E+06
Deyonta Davis,632868.816411753,1945479.81641175,1312611
Dillon Brooks,6315319.54003082,7130934.54003082,815615
Dion Waiters,-1344906.49682756,9655093.50317244,1.1E+07
Dirk Nowitzki,11133324.3360133,16133324.3360133,5E+06
Domantas Sabonis,4830906.84349888,7380906.84349888,2550000
Donovan Mitchell,14831808.5625063,17453088.5625063,2621280
Dorian Finney-Smith,2089281.56146635,3401892.56146635,1312611
Doug McDermott,1861967.97690299,5156961.97690299,3294994
Dragan Bender,-1476360.65699574,2992439.34300426,4468800
Draymond Green,-9988206.38850852,6411793.61149148,16400000
Dwayne Bacon,2013353.56337858,2828968.56337858,815615
Dwight Buycks,3092858.03267557,3841018.03267557,748160
Dwight Howard,-10190940.7973883,13309059.2026117,23500000
Dwight Powell,-4084088.56722748,4919036.43277252,9003125
Dwyane Wade,1839627.21672723,17389627.2167272,15550000
Dwyane Wade,15918245.2167272,17389627.2167272,1471382
E'Twaun Moore,-3252392.13983384,5192631.86016616,8445024
Ed Davis,-2326344.09489809,4026186.90510191,6352531
Ekpe Udoh,-1595876.2965578,1604123.7034422,3200000
Elfrid Payton,4492880.37699038,7825220.37699038,3332340
Emeka Okafor,8072687.53223806,8847601.53223806,774914
Emmanuel Mudiay,4976219.30070781,8357699.30070781,3381480
Enes Kanter,-12029218.3926213,8537583.60737873,20566802
Eric Bledsoe,-4001593.43810445,10498406.5618956,14500000
Eric Gordon,-179780.377450215,12763239.6225498,12943020
Eric Moreland,-1587739.73179381,151593.26820619,1739333
Ersan Ilyasova,7214292.44518288,7571746.44518288,357454
Ersan Ilyasova,2137464.44518288,7571746.44518288,5434282
