"","player","season.x","DRAYMOND","X_id","salary","season.y","season_end","season_start","team","career_AST","career_FG%","career_PTS","position"
"216","Jeremy Evans","2018",15.89637,"evansje01",133129,"2017-18",2018,2017,"Atlanta Hawks",0.4,"56.9",3.5,"Power Forward and Small Forward"
"217","Jeremy Lamb","2018",0.2748568,"lambje01",7e+06,"2017-18",2018,2017,"Charlotte Hornets",1.5,"44.3",10.2,"Small Forward and Shooting Guard"
"218","Jeremy Lin","2018",-8.721315,"linje01",1.2e+07,"2017-18",2018,2017,"Brooklyn Nets",4.3,"43.3",11.6,"Shooting Guard and Point Guard"
"219","Jerian Grant","2018",0.188802,"grantje02",1713840,"2017-18",2018,2017,"Chicago Bulls",2.9,"41.2",6.1,"Point Guard"
"220","Jerryd Bayless","2018",0.2903441,"bayleje01",9e+06,"2017-18",2018,2017,"Philadelphia 76ers",2.9,"41.1",8.4,"Point Guard and Shooting Guard"
"221","Jimmy Butler","2018",0.8010484,"butleji01",19301070,"2017-18",2018,2017,"Minnesota Timberwolves",3.5,"45.4",16.7,"Shooting Guard and Small Forward"
"222","Joakim Noah","2018",6.307275,"noahjo01",17765000,"2017-18",2018,2017,"New York Knicks",2.8,"49.1",8.8,"Center"
"223","Jodie Meeks","2018",-1.335374,"meeksjo01",3290000,"2017-18",2018,2017,"Washington Wizards",1.1,"42.0",9.3,"Shooting Guard"
"224","Joe Harris","2018",0.6878371,"harrijo01",1524305,"2017-18",2018,2017,"Brooklyn Nets",1.5,"47.5",9.4,"Shooting Guard"
"225","Joe Ingles","2018",-0.1427694,"inglejo01",14136364,"2017-18",2018,2017,"Utah Jazz",3.4,"44.7",8,"Power Forward and Small Forward"
"226","Joe Johnson","2018",0.6822386,"johnsjo02",473835,"2017-18",2018,2017,"Houston Rockets",3.9,"44.1",16,"Shooting Guard and Small Forward"
"227","Joe Johnson","2018",0.6822386,"johnsjo02",9505000,"2017-18",2018,2017,"Sacramento Kings",3.9,"44.1",16,"Shooting Guard and Small Forward"
"228","Joe Young","2018",0.0485497,"youngjo01",1471382,"2017-18",2018,2017,"Indiana Pacers",0.9,"39.3",3.4,"Point Guard"
"229","Joel Embiid","2018",3.392133,"embiijo01",6100266,"2017-18",2018,2017,"Philadelphia 76ers",3.2,"48.1",24.3,"Center"
"230","Joffrey Lauvergne","2018",-2.443227,"lauvejo01",1524305,"2017-18",2018,2017,"San Antonio Spurs",0.9,"47.9",5.6,"Center and Power Forward"
"231","John Collins","2018",1.353842,"collijo01",1936920,"2017-18",2018,2017,"Atlanta Hawks",1.6,"56.6",14.6,"Power Forward"
"232","John Henson","2018",0.6651,"hensojo01",11422536,"2017-18",2018,2017,"Milwaukee Bucks",1.1,"53.9",7.8,"Center and Power Forward"
"233","John Wall","2018",1.944504,"walljo01",18063850,"2017-18",2018,2017,"Washington Wizards",9.2,"43.3",19,"Point Guard"
"234","Jon Leuer","2018",-3.944652,"leuerjo01",10497319,"2017-18",2018,2017,"Detroit Pistons",0.8,"48.4",6.4,"Center and Power Forward"
"235","Jonas Jerebko","2018",-1.111749,"jerebjo01",4e+06,"2017-18",2018,2017,"Utah Jazz",0.8,"45.7",6.2,"Power Forward"
"236","Jonas Valanciunas","2018",1.630162,"valanjo01",15460675,"2017-18",2018,2017,"Toronto Raptors",0.8,"55.8",12.1,"Center"
"237","Jonathan Gibson","2018",-1.824166,"gibsojo01",44495,"2017-18",2018,2017,"Boston Celtics",1.4,"41.5",6.7,"Point Guard"
"238","Jonathan Isaac","2018",0.4260628,"isaacjo01",4186320,"2017-18",2018,2017,"Orlando Magic",1,"41.9",8.5,"Power Forward"
"239","Jonathon Simmons","2018",-0.9551177,"simmojo02",6300000,"2017-18",2018,2017,"Orlando Magic",1.9,"44.3",8.3,"Shooting Guard and Small Forward"
"240","Jordan Bell","2018",1.420577,"belljo01",815615,"2017-18",2018,2017,"Golden State Warriors",1.4,"57.0",3.9,"Center"
"241","Jordan Clarkson","2018",-0.8816471,"clarkjo01",11562500,"2017-18",2018,2017,"Cleveland Cavaliers",2.7,"44.5",14.7,"Shooting Guard and Point Guard"
"242","Jordan Crawford","2018",-6.836968,"crawfjo02",308190,"2017-18",2018,2017,"New Orleans Pelicans",3.1,"41.1",12.2,"Shooting Guard and Point Guard"
"243","Jordan Mickey","2018",0.0394533,"mickejo01",1471382,"2017-18",2018,2017,"Miami Heat",0.3,"44.9",2.4,"Power Forward"
"244","Jose Calderon","2018",-0.4370299,"caldejo01",1471382,"2017-18",2018,2017,"Cleveland Cavaliers",5.8,"47.2",8.9,"Shooting Guard and Point Guard"
"245","Josh Gray","2018",-5.6091,"grayjo01",101376,"2017-18",2018,2017,"Phoenix Suns",2.4,"26.8",6.4,"Point Guard"
"246","Josh Hart","2018",0.9466088,"hartjo01",1394520,"2017-18",2018,2017,"Los Angeles Lakers",1.3,"43.5",7.9,"Shooting Guard"
"247","Josh Huestis","2018",2.378113,"huestjo01",1471382,"2017-18",2018,2017,"Oklahoma City Thunder",0.3,"34.6",2.5,"Power Forward"
